flow,bucket,principal,beneficiary,gate,change-authority,source
captured_protocol_fees.v1.stage_a,referee_reward,referee_principal,Referee,"GATE_PAYOUT_READY_ALEX + referral engine readiness","Gate controls execution readiness; policy and authority follow SAB/DAO governance boundary","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.2|§3.2; openspec/changes/csf-autonomous-launch/specs/launch-mechanics/spec.md §5-5-5 Referral Engine"
captured_protocol_fees.v1.stage_a,protocol_health_lock,operational-treasury::protocol-health-vault,Protocol health reserve,"GATE_MAINNET_BASELINE + policy-toggle(protocol_health_lock_enabled)","Policy toggle is governance-owned; execution remains gate constrained","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.2|§3.2|§5.1"
captured_protocol_fees.v1.stage_b,founders_cut,operational-treasury::founder-vault,Founder vault (10 bps carve-out from captured fees),GATE_MAINNET_BASELINE,"Normative founders-cut mechanics; policy mutations require timelocked governance after handoff","openspec/changes/csf-autonomous-launch/specs/launch-mechanics/spec.md §Founder's Cut Fee Logic; docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.2"
captured_protocol_fees.v1.stage_b,treasury,cxd-treasury::treasury (policy-resolved principal),Protocol reserve / operations,GATE_MAINNET_BASELINE,"Stage B percentages are policy-managed on-chain; authority transitions from SAB execution to DAO timelock policy governance","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.2|§2.1|§6.2; docs/BOS_WALLET_CONTROL_MODEL.md §Governance boundary"
captured_protocol_fees.v1.stage_b,buyback,cxd-treasury::buyback (governance-approved-parameter),Buyback route / reserve,GATE_MAINNET_BASELINE,"Policy-controlled destination; concrete principal remains governance-approved-parameter until evidence updates","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.2|§2.1"
captured_protocol_fees.v1.stage_b,insurance,cxd-treasury::insurance -> operational-treasury::insurance-vault,Insurance reserve,GATE_MAINNET_BASELINE,"Same governance boundary as Stage B policy rows","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.2|§5.1"
captured_protocol_fees.v1.stage_b,bounty,cxd-treasury::bounty -> operational-treasury::bounty-vault,Contributor bounty pool,"Accrual: GATE_MAINNET_BASELINE; payout execution: GATE_PAYOUT_READY_ALEX","Payout execution gate is separate from policy mutation authority","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.2|§3.2|§5.1"
captured_protocol_fees.v1.stage_b,grant,cxd-treasury::grant -> operational-treasury::grant-vault,Contributor grant pool,"Accrual: GATE_MAINNET_BASELINE; payout execution: GATE_PAYOUT_READY_ALEX","Payout execution gate is separate from policy mutation authority","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.2|§3.2|§5.1"
captured_protocol_fees.v1.stage_b,lp,cxd-treasury::lp -> operational-treasury::lp-incentives-vault,LP incentives route,GATE_MAINNET_BASELINE,"Policy percentages are governance surfaces; execution follows active bucket-set mechanics","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.2|§5.1"
captured_protocol_fees.v2,labs_opex,operational-treasury::labs-opex-vault,Labs operator fee allocation,"GATE_OPERATOR_FEE_APPROVED + explicit version bump","Not active in v1; requires explicit governance approval and versioned bucket-set introduction","docs/protocols/FEE_BUCKET_IMPLEMENTATION_PLAN.md §1.2 Labs-owned bucket note|§3.2|§4.2"
